127.0.0.1, 2023-04-01 16:40:16, GET, /, HTTP/1.1, 303, 0.513784
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.365016
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002990
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000996
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003988
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.020944
127.0.0.1, 2023-04-01 16:40:17, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001002
127.0.0.1, 2023-04-01 16:40:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2023-04-01 16:40:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 18:00:50, GET, /, HTTP/1.1, 303, 0.162565
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.453694
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003990
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007980
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001996
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003991
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:00:51, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:00:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2023-04-01 18:00:55, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001678
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/default/index, HTTP/1.1, 200, 0.264092
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.001986
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.005983
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.007978
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.004988
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.011970
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.008973
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001992
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004987
00, 0.001995
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-04-01 18:01:42, GET, /admin/static/_2.24.1/images/questions.png, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-04-01 18:01:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-01 18:01:45, POST, /admin/default/index, HTTP/1.1, 303, 0.015958
127.0.0.1, 2023-04-01 18:01:45, GET, /admin/default/site, HTTP/1.1, 200, 0.059705
127.0.0.1, 2023-04-01 18:01:45, GET, /admin/static/_2.24.1/images/folder.png, HTTP/1.1, 200, 0.003990
127.0.0.1, 2023-04-01 18:01:45, GET, /admin/static/_2.24.1/images/folder_locked.png, HTTP/1.1, 200, 0.004985
127.0.0.1, 2023-04-01 18:01:45, GET, /admin/static/_2.24.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:01:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.513684
127.0.0.1, 2023-04-01 18:01:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-01 18:03:00, POST, /admin/default/site, HTTP/1.1, 303, 0.174532
127.0.0.1, 2023-04-01 18:03:00, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 0.201526
127.0.0.1, 2023-04-01 18:03:00, GET, /admin/static/_2.24.1/images/search.png, HTTP/1.1, 200, 0.001996
127.0.0.1, 2023-04-01 18:03:00, GET, /admin/static/_2.24.1/images/help.png, HTTP/1.1, 200, 0.001993
127.0.0.1, 2023-04-01 18:03:00, GET, /admin/static/_2.24.1/images/delete_icon.png, HTTP/1.1, 200, 0.001996
127.0.0.1, 2023-04-01 18:03:00, GET, /admin/static/_2.24.1/images/test_icon.png, HTTP/1.1, 200, 0.001993
127.0.0.1, 2023-04-01 18:03:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.051457
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002992
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/theme/twilight.css, HTTP/1.1, 200, 0.002993
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.006983
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002994
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004986
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.004993
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003997
127.0.0.1, 2023-04-01 18:04:08, GET, /admin/static/_2.24.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.004987
